pro_title,pro_brand,pro_model,pro_color,数量,normalized_brand,device_category,normalized_model,memory_storage,normalized_color,storage
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,原色钛金属,51,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,黑色钛金属,169,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,黑色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,白色钛金属,344,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,原色钛金属,771,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,白色钛金属,333,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/128G,白色钛金属,3,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,原色钛金属,410,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,白色钛金属,16,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
MacBook Air M3 2024款,便携本,MacBook Air M3 2024款/Air M3 2024款/M3芯片/13英寸/8核CPU/8核GPU/8GB/256G,银色,1,Laptop 便携本,Computer,MacBook Air M3,未知+8GB,银色,未知+8GB
AirPods Pro 第二代 2023款,耳机,AirPods Pro 第二代 2023款/USB-C接口/入耳式,白色,8,其它耳机,Smartphone,AirPods Pro,未知,白色,未知
华为 Mate 60 Pro,华为,华为 Mate 60 Pro/5G全网通/12G+512G,雅丹黑,3,Huawei 华为,Smartphone,Mate 60 Pro,12GB+512GB,黑色,12GB+512GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,原色钛金属,29,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
HUAWEI WATCH 4 Pro,智能手表,HUAWEI WATCH 4 Pro/约46mm/火星钛 钛金属表带,火星钛,1,其它智能手表,Smartphone,HUAWEI WATCH 4 Pro,未知,火星钛,未知
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,白色钛金属,15,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 45mm GPS,午夜色 运动型表带M/L,1,其它智能手表,Smartphone,Apple Watch Series 9,未知,午夜色 运动型表带M/L,未知
HUAWEI WATCH GT 4,智能手表,HUAWEI WATCH GT 4/GT 4/46mm 云杉绿 复合编织表带,云杉绿 复合编织表带,1,其它智能手表,Smartphone,HUAWEI WATCH GT 4,未知,绿色,未知
OPPO Watch 4 Pro,智能手表,OPPO Watch 4 Pro/OPPO Watch 4 Pro/极夜黑 氟橡胶表带款,极夜黑,2,其它智能手表,Smartphone,OPPO Watch 4 Pro,未知,黑色,未知
vivo X Fold3 Pro,vivo,vivo X Fold3 Pro/5G全网通/16G+512G,薄翼黑,1,VIVO,Smartphone,vivo X Fold3 Pro,16GB+512GB,黑色,16GB+512GB
Redmi K70,小米,Redmi K70/5G全网通/16G+512G,晴雪,1,Xiaomi 小米,Smartphone,Redmi K70,16GB+512GB,晴雪,16GB+512GB
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,蓝色海洋表带,1,其它智能手表,Smartphone,Apple Watch Ultra 2,未知,蓝色,未知
OPPO K12,OPPO,OPPO K12/5G全网通/12G+256G,青云,1,OPPO,Smartphone,OPPO K12,12GB+256GB,青云,12GB+256GB
iPhone 15,苹果,iPhone 15/5G全网通/256G,黑色,4,Apple 苹果,Smartphone,iPhone 15,未知+5GB,黑色,未知+5GB
【95新】华为 Mate 40E,华为,【95新】华为 Mate 40E/5G全网通/8G+128G,釉白色,1,Huawei 华为,Smartphone,Mate 40,8GB+128GB,白色,8GB+128GB
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/256G,粉色,4,Apple 苹果,Smartphone,iPhone 15 Plus,未知+5GB,粉色,未知+5GB
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,蓝色钛金属,14,Apple 苹果,Smartphone,iPhone 15 Pro,未知,蓝色,未知
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,白色钛金属,132,Apple 苹果,Smartphone,iPhone 15 Pro,未知,白色,未知
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,黑色钛金属,38,Apple 苹果,Smartphone,iPhone 15 Pro,未知,黑色,未知
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,原色钛金属,46,Apple 苹果,Smartphone,iPhone 15 Pro,未知,金色,未知
iPhone 15 Pro,Apple,iPhone 15 Pro,原色钛金属,5,Apple 苹果,Smartphone,iPhone 15 Pro,未知,金色,未知
iPhone 15 Plus,Apple,iPhone 15 Plus,黑色,1,Apple 苹果,Smartphone,iPhone 15 Plus,未知,黑色,未知
iPhone 15 Pro,Apple,iPhone 15 Pro,黑色钛金属,7,Apple 苹果,Smartphone,iPhone 15 Pro,未知,黑色,未知
iPhone 15,Apple,iPhone 15,蓝色,1,Apple 苹果,Smartphone,iPhone 15,未知,蓝色,未知
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,黑色钛金属,113,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,黑色,未知+5GB
iPhone 15,苹果,iPhone 15/5G全网通/256G,蓝色,6,Apple 苹果,Smartphone,iPhone 15,未知+5GB,蓝色,未知+5GB
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,橙色海洋表带,1,其它智能手表,Smartphone,Apple Watch Ultra 2,未知,橙色海洋表带,未知
iPhone 15,苹果,iPhone 15/5G全网通/128G,黑色,5,Apple 苹果,Smartphone,iPhone 15,未知+5GB,黑色,未知+5GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,黑色钛金属,7,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,黑色,未知+5GB
iPad Pro 2024款,平板,iPad Pro 2024款/WiFi/蜂窝/256G/WiFi/11英寸,深空黑色,1,Tablet 平板,Smartphone,iPad Pro 2024,未知+256GB,黑色,未知+256GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,蓝色钛金属,18,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,蓝色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,蓝色钛金属,2,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,蓝色,未知+5GB
iPad 2022款,平板,iPad 2022款/WiFi/蜂窝版/64G/WiFi/10.9寸,粉色,1,Tablet 平板,Smartphone,iPad 2022,未知+64GB,粉色,未知+64GB
【99新】iPhone 14,苹果,【99新】iPhone 14/5G全网通/128G,午夜色,1,Apple 苹果,Smartphone,iPhone 14,未知+5GB,午夜色,未知+5GB
华为 Mate 60 Pro+,华为,华为 Mate 60 Pro+/5G全网通/16G+1T,砚黑,1,Huawei 华为,Smartphone,Mate 60 Pro,未知+5GB,黑色,未知+5GB
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/512G,蓝色,1,Apple 苹果,Smartphone,iPhone 15 Plus,未知+5GB,蓝色,未知+5GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/128G,原色钛金属,10,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
OPPO Find X7,OPPO,OPPO Find X7/5G全网通/16G+512G,海阔天空,1,OPPO,Smartphone,OPPO Find X7,16GB+512GB,海阔天空,16GB+512GB
iPad mini 6 2021款,平板,iPad mini 6 2021款/WiFi版/蜂窝版/64G/WiFi/8.3寸,深空灰色,1,Tablet 平板,Smartphone,iPad mini 6,未知+64GB,灰色,未知+64GB
华为 Mate 60 Pro,华为,华为 Mate 60 Pro/5G全网通/12G+512G,白沙银,2,Huawei 华为,Smartphone,Mate 60 Pro,12GB+512GB,白色,12GB+512GB
HUAWEI WATCH GT 3 Pro,智能手表,HUAWEI WATCH GT 3 Pro/GT 3 Pro/典藏版（43mm）黑色陶瓷,黑色陶瓷,1,其它智能手表,Smartphone,HUAWEI WATCH GT 3 Pro,未知,黑色,未知
华为 Pura 70 Ultra,华为,华为 Pura 70 Ultra/5G全网通/16G+512G,星芒白,1,Huawei 华为,Smartphone,Pura 70 Ultra,16GB+512GB,白色,16GB+512GB
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,午夜色 运动型表带S/M,1,其它智能手表,Smartphone,Apple Watch Series 9,未知,午夜色 运动型表带S/M,未知
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,原色钛金属,34,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
小米14,小米,小米14/5G全网通/12G+256G,黑色,1,Xiaomi 小米,Smartphone,小米14/5G全网通/12G,12GB+256GB,黑色,12GB+256GB
三星 Galaxy S24 Ultra,三星,三星 Galaxy S24 Ultra/5G全网通/12G+256G,钛灰,1,Samsung 三星,Smartphone,Galaxy S24 Ultra,12GB+256GB,灰色,12GB+256GB
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,星光色 运动型表带M/L,2,其它智能手表,Smartphone,Apple Watch Series 9,未知,星光色 运动型表带M/L,未知
华为 Pura 70 Ultra,华为,华为 Pura 70 Ultra/5G全网通/16G+1T,星芒白,1,Huawei 华为,Smartphone,Pura 70 Ultra,未知+5GB,白色,未知+5GB
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/1T,白色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
OPPO K12,OPPO,OPPO K12/5G全网通/12G+256G,星夜,2,OPPO,Smartphone,OPPO K12,12GB+256GB,星夜,12GB+256GB
小米14 Ultra,小米,小米14 Ultra/5G全网通/12G+256G,白色,1,Xiaomi 小米,Smartphone,Ultra,12GB+256GB,白色,12GB+256GB
iPhone 15,苹果,iPhone 15/5G全网通/256G,粉色,2,Apple 苹果,Smartphone,iPhone 15,未知+5GB,粉色,未知+5GB
iPhone 15,苹果,iPhone 15/5G全网通/128G,蓝色,17,Apple 苹果,Smartphone,iPhone 15,未知+5GB,蓝色,未知+5GB
Redmi K70 Pro,小米,Redmi K70 Pro/5G全网通/12G+256G,晴雪,1,Xiaomi 小米,Smartphone,Redmi K70 Pro,12GB+256GB,晴雪,12GB+256GB
【99新】iPhone 15 Pro Max,苹果,【99新】iPhone 15 Pro Max/5G全网通/256G,原色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,金色,未知+5GB
HUAWEI WATCH GT 4,智能手表,HUAWEI WATCH GT 4/GT 4/46mm 曜石黑 氟橡胶表带,曜石黑 氟橡胶表带,1,其它智能手表,Smartphone,HUAWEI WATCH GT 4,未知,黑色,未知
vivo X100,vivo,vivo X100/5G全网通/12G+256G,辰夜黑,1,VIVO,Smartphone,vivo X100,12GB+256GB,黑色,12GB+256GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,蓝色钛金属,22,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,蓝色,未知+5GB
【99新】OPPO Find X6,OPPO,【99新】OPPO Find X6/5G全网通/16G+512G,雪山金,1,OPPO,Smartphone,OPPO Find X6,16GB+512GB,金色,16GB+512GB
【95新】三星 Galaxy Z Fold4,三星,【95新】三星 Galaxy Z Fold4/5G全网通/12G+256G,铂萃黑,1,Samsung 三星,Smartphone,Galaxy Z Fold4,12GB+256GB,黑色,12GB+256GB
【95新】iPhone 15,苹果,【95新】iPhone 15/5G全网通/128G,蓝色,1,Apple 苹果,Smartphone,iPhone 15,未知+5GB,蓝色,未知+5GB
vivo X100 Pro,vivo,vivo X100 Pro/5G全网通/16G+512G,白月光,1,VIVO,Smartphone,vivo X100 Pro,16GB+512GB,白色,16GB+512GB
Redmi K70,小米,Redmi K70/5G全网通/16G+256G,墨羽,1,Xiaomi 小米,Smartphone,Redmi K70,16GB+256GB,墨羽,16GB+256GB
vivo S18e,vivo,vivo S18e/5G全网通/12G+512G,星夜黑,1,VIVO,Smartphone,vivo S18,12GB+512GB,黑色,12GB+512GB
Redmi K70 Pro,小米,Redmi K70 Pro/5G全网通/16G+512G,墨羽,1,Xiaomi 小米,Smartphone,Redmi K70 Pro,16GB+512GB,墨羽,16GB+512GB
【99新】vivo iQOO 11 Pro,vivo,【99新】vivo iQOO 11 Pro/5G全网通/16G+512G,传奇版,1,VIVO,Smartphone,vivo iQOO 11 Pro,16GB+512GB,传奇版,16GB+512GB
荣耀90 Pro,荣耀,荣耀90 Pro/5G全网通/16G+512G,墨玉青,1,Honor 荣耀,Smartphone,Pro,16GB+512GB,墨玉青,16GB+512GB
【99新】三星 Galaxy Z Flip4,三星,【99新】三星 Galaxy Z Flip4/5G全网通/8G+256G,繁樱花园,1,Samsung 三星,Smartphone,Galaxy Z Flip4,8GB+256GB,繁樱花园,8GB+256GB
vivo X100,vivo,vivo X100/5G全网通/16G+512G,白月光,1,VIVO,Smartphone,vivo X100,16GB+512GB,白色,16GB+512GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,原色钛金属,40,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,金色,未知+512GB
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,原色钛金属,42,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,金色,未知+512GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,黑色钛金属,16,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,黑色,未知+512GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,蓝色钛金属,3,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,蓝色,未知+256GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,白色钛金属,24,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,白色,未知+512GB
三星Galaxy S24 Ultra新品上新 AI智享生活办公 四长焦系统SPen 5G,三星（SAMSUNG）,12+256GB,钛灰,1,Samsung 三星,Smartphone,Galaxy S24 Ultra,未知+256GB,灰色,未知+256GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,原色钛金属,22,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,黑色钛金属,52,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,黑色,未知+256GB
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,原色钛金属,3,Apple 苹果,Smartphone,iPhone15 Pro,未知+512GB,金色,未知+512GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,白色钛金属,14,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,白色,未知+256GB
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,黑色钛金属,5,Apple 苹果,Smartphone,iPhone15 Pro,未知+512GB,黑色,未知+512GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,黑色钛金属,8,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,黑色,未知+256GB
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,白色钛金属,5,Apple 苹果,Smartphone,iPhone15 Pro,未知+512GB,白色,未知+512GB
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,白色钛金属,74,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,白色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,蓝色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,蓝色,未知+512GB
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,原色钛金属,9,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新国行 Apple iPhone 15 Pro,Apple,512G,黑色钛金属,1,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,黑色,未知+512GB
全新国行 Apple iPhone 15 Pro,Apple,512G,原色钛金属,4,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+512GB,金色,未知+512GB
全新国行 Apple iPhone 15 Pro Max,Apple,256G,蓝色钛金属,3,Apple 苹果,Smartphone,Apple iPhone 15 Pro,未知+256GB,蓝色,未知+256GB
全新国行 2024款 iPad Pro M4芯片,Apple,"11英寸,无线局域网512G",深空黑,1,Apple 苹果,Smartphone,iPad Pro M4,未知+512GB,黑色,未知+512GB
全新 华硕天选5 Pro 16寸 i7/i9  2.5K 165Hz 高性能笔记本电脑,华硕笔记本,i7-13650HX 16G 1TB   4060 魔幻青,,1,Asus 华硕,Computer,i7-13650HX 16G 1TB   4060 魔幻青,未知+16GB,未知,未知+16GB
vivo iQOO Neo9,vivo,vivo iQOO Neo9/5G全网通/16G+256G,格斗黑,1,VIVO,Smartphone,vivo iQOO Neo9,16GB+256GB,黑色,16GB+256GB
iPhone 15,苹果,iPhone 15/5G全网通/512G,粉色,1,Apple 苹果,Smartphone,iPhone 15,未知+5GB,粉色,未知+5GB
【95新】vivo iQOO 11,vivo,【95新】vivo iQOO 11/5G全网通/16G+512G,曼岛特别版,1,VIVO,Smartphone,vivo iQOO 11,16GB+512GB,曼岛特别版,16GB+512GB
iPhone 15,苹果,iPhone 15/5G全网通/256G,绿色,1,Apple 苹果,Smartphone,iPhone 15,未知+5GB,绿色,未知+5GB
三星Galaxy Z Flip6 新款 折叠屏手机,三星,三星Galaxy Z Flip6 新款 折叠屏手机/5G全网通/12G+256G,星夜银色,1,Samsung 三星,Smartphone,Galaxy Z Flip6,12GB+256GB,银色,12GB+256GB
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,午夜色 运动型表带M/L,1,其它智能手表,Smartphone,Apple Watch Series 9,未知,午夜色 运动型表带M/L,未知
【99新】iPhone 15 Pro,苹果,【99新】iPhone 15 Pro/5G全网通/512G,白色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,白色,未知+5GB
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,黑色钛金属,4,Apple 苹果,Smartphone,iPhone 15 Pro,未知+5GB,黑色,未知+5GB
【99新】iPhone 14 Pro Max,苹果,【99新】iPhone 14 Pro Max/5G全网通/256G,银色,1,Apple 苹果,Smartphone,iPhone 14 Pro,未知+5GB,银色,未知+5GB
iPhone 15,Apple,iPhone 15,粉色,1,Apple 苹果,Smartphone,iPhone 15,未知,粉色,未知
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 45mm GPS,午夜色 运动型表带S/M,1,其它智能手表,Smartphone,Apple Watch Series 9,未知,午夜色 运动型表带S/M,未知
【95新】vivo X90,vivo,【95新】vivo X90/5G全网通/8G+256G,冰蓝,1,VIVO,Smartphone,vivo X90,8GB+256GB,蓝色,8GB+256GB
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,白色海洋表带,1,其它智能手表,Smartphone,Apple Watch Ultra 2,未知,白色,未知
OPPO Reno12,OPPO,OPPO Reno12/5G全网通/16GB+256GB,千禧银,1,OPPO,Smartphone,OPPO Reno12,16GB+256GB,银色,16GB+256GB
AirPods 3,耳机,AirPods 3/蓝牙耳机/充电盒,白色,1,其它耳机,Smartphone,AirPods 3,未知,白色,未知
vivo X100,vivo,vivo X100/5G全网通/16G+256G,白月光,1,VIVO,Smartphone,vivo X100,16GB+256GB,白色,16GB+256GB
小米Civi 4 Pro,小米,小米Civi 4 Pro/5G全网通/12G+256G,柔雾粉,1,Xiaomi 小米,Smartphone,Civi 4 Pro,12GB+256GB,柔雾粉,12GB+256GB
vivo iQOO Neo9 Pro,vivo,vivo iQOO Neo9 Pro/5G全网通/12G+256G,格斗黑,1,VIVO,Smartphone,vivo iQOO Neo9 Pro,12GB+256GB,黑色,12GB+256GB
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,蓝色海洋表带,2,Apple 苹果,Smartphone,Apple Watch Ultra 2,未知,蓝色,未知
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,原色钛金属,58,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,金色,未知+256GB
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,黑色钛金属,33,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,黑色,未知+512GB
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,256GB,原色钛金属,3,Apple 苹果,Smartphone,iPhone15 Pro,未知+256GB,金色,未知+256GB
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,蓝色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+512GB,蓝色,未知+512GB
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,256GB,白色钛金属,1,Apple 苹果,Smartphone,iPhone15 Pro,未知+256GB,白色,未知+256GB
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸256GB 无线局域网机型,深空黑色,7,Apple 苹果,Computer,iPad Pro 2024,未知+256GB,黑色,未知+256GB
