机型数据,数量
智能手表applewatchultra2applewatchultra2/ultra2/钛金属49mm蜂窝,3
oppooppok12oppok12/5g全网通/12g+256g,3
苹果iphone15iphone15/5g全网通/256g,16
华为【95新】华为mate40e【95新】华为mate40e/5g全网通/8g+128g,1
苹果iphone15plusiphone15plus/5g全网通/256g,6
appleiphone15promax256g,108
appleiphone15promax512g,102
appleiphone15pro512g,22
appleiphone15plus256g,1
appleiphone15256g,1
appleiphone15pro128g,3
苹果iphone15iphone15/5g全网通/128g,27
平板ipadpro2024款ipadpro2024款/wifi/蜂窝/256g/wifi/11英寸,1
平板ipad2022款ipad2022款/wifi/蜂窝版/64g/wifi/10.9寸,1
苹果【99新】iphone14【99新】iphone14/5g全网通/128g,1
华为华为mate60pro+华为mate60pro+/5g全网通/16g+1t,1
苹果iphone15plusiphone15plus/5g全网通/512g,1
oppooppofindx7oppofindx7/5g全网通/16g+512g,1
平板ipadmini62021款ipadmini62021款/wifi版/蜂窝版/64g/wifi/8.3寸,1
智能手表huaweiwatchgt3prohuaweiwatchgt3pro/gt3pro/典藏版（43mm）黑色陶瓷,1
华为华为pura70ultra华为pura70ultra/5g全网通/16g+512g,1
智能手表applewatchseries9applewatchseries9/s9/铝金属41mmgps,4
小米小米14小米14/5g全网通/12g+256g,1
三星三星galaxys24ultra三星galaxys24ultra/5g全网通/12g+256g,1
华为华为pura70ultra华为pura70ultra/5g全网通/16g+1t,1
苹果iphone15proiphone15pro/5g全网通/1t,1
小米小米14ultra小米14ultra/5g全网通/12g+256g,1
小米redmik70proredmik70pro/5g全网通/12g+256g,1
苹果【99新】iphone15promax【99新】iphone15promax/5g全网通/256g,1
智能手表huaweiwatchgt4huaweiwatchgt4/gt4/46mm曜石黑氟橡胶表带,1
vivovivox100vivox100/5g全网通/12g+256g,1
oppo【99新】oppofindx6【99新】oppofindx6/5g全网通/16g+512g,1
三星【95新】三星galaxyzfold4【95新】三星galaxyzfold4/5g全网通/12g+256g,1
苹果【95新】iphone15【95新】iphone15/5g全网通/128g,1
vivovivox100provivox100pro/5g全网通/16g+512g,1
小米redmik70redmik70/5g全网通/16g+256g,1
vivovivos18evivos18e/5g全网通/12g+512g,1
小米redmik70proredmik70pro/5g全网通/16g+512g,1
vivo【99新】vivoiqoo11pro【99新】vivoiqoo11pro/5g全网通/16g+512g,1
荣耀荣耀90pro荣耀90pro/5g全网通/16g+512g,1
三星【99新】三星galaxyzflip4【99新】三星galaxyzflip4/5g全网通/8g+256g,1
vivovivox100vivox100/5g全网通/16g+512g,1
appleiphone15pro全新国行5g全网通非监管机信用免押512gb,18
appleiphone15promax5g全网通钛合金金属边框512gb,87
三星（samsung）三星galaxys24ultra新品上新ai智享生活办公四长焦系统spen5g12+256gb,2
apple全新iphone15promax新品首发5g全网通钛合金金属边框512gb,173
appleiphone15promax5g全网通钛合金金属边框256gb,55
apple全新iphone15promax新品首发5g全网通钛合金金属边框256gb,186
"apple全新国行2024款ipadprom4芯片11英寸,无线局域网512g",1
华硕笔记本全新华硕天选5pro16寸i7/i92.5k165hz高性能笔记本电脑i7-13650hx16g1tb4060魔幻青,1
vivovivoiqooneo9vivoiqooneo9/5g全网通/16g+256g,1
苹果iphone15iphone15/5g全网通/512g,1
vivo【95新】vivoiqoo11【95新】vivoiqoo11/5g全网通/16g+512g,1
三星三星galaxyzflip6新款折叠屏手机三星galaxyzflip6新款折叠屏手机/5g全网通/12g+256g,1
苹果【99新】iphone15pro【99新】iphone15pro/5g全网通/512g,1
苹果【99新】iphone14promax【99新】iphone14promax/5g全网通/256g,1
appleiphone15promaxiphone15promax,23
appleiphone15iphone15,1
vivo【95新】vivox90【95新】vivox90/5g全网通/8g+256g,1
oppoopporeno12opporeno12/5g全网通/16gb+256gb,1
vivovivox100vivox100/5g全网通/16g+256g,1
小米小米civi4pro小米civi4pro/5g全网通/12g+256g,1
vivovivoiqooneo9provivoiqooneo9pro/5g全网通/12g+256g,1
appleapplewatchultra2年度爆款全新正品顺丰发货49毫米gps+蜂窝网络,9
appleiphone15pro全新国行5g全网通非监管机信用免押256gb,4
appleipadpro2024款m4芯片新款苹果平板电脑11英寸256gb无线局域网机型,11
appleipadair2024款m2芯片apple/苹果新款平板电脑11英寸256gb无线局域网机型,3
appleiphone15全新国行5g全网通灵动岛上线信用免押128gb,2
appleipadair2024款m2芯片apple/苹果新款平板电脑11英寸512gb无线局域网机型,1
appleipadpro2022新款全新正品顺丰发货11英寸256gb无线局域网机型,2
apple全新applewatchseries9国行正品顺丰发货45毫米gps版s/m,1
appleipadpro2024款m4芯片新款苹果平板电脑11英寸512gb无线局域网机型,6
apple95新iphone13国行正品灵活租满一个月可随时归还128gb,1
apple99新iphone15pro5g全网通灵活租满一个月可随时归还256gb,2
三星全新国行三星galaxys24ultra12g+256g,1
"apple融租-全新国行iphone14-0601（不要动数据！！！）港澳台,256g",2
appleipadpro2024款m4芯片新款苹果平板电脑13英寸512gb无线局域网机型,11
apple全新applewatchseries9国行正品顺丰发货41毫米gps版s/m,1
appleiphone15plus全新国行5g全网通灵动岛上线信用免押512gb,1
"apple融租-全新国行iphone14-0601（不要动数据！！！）港澳台,512g",1
apple全新iphone15pro新品首发5g全网通钛合金金属边框256gb,3
apple全新applewatchseries9国行正品顺丰发货41毫米gps+蜂窝网络版s/m,1
华硕笔记本华硕笔记本华硕天选5系列i9-13980hx16g1tb4060魔幻青,1
华硕笔记本华硕笔记本99新华硕天选4系列r9-7940hrtx406016g+512g灰色,1
appleappleiphone15promax512g,883
华硕笔记本华硕笔记本华硕天选5系列i9-1490016g1tb4060魔幻青,1
appleappleiphone15promax256g,797
appleappleiphone15pro512g,53
appleappleiphone15pro128g,7
苹果iphone15plusiphone15plus/5g全网通/128g,3
苹果iphone15promax（专区专享）iphone15promax（专区专享）/5g全网通/256g,49
苹果iphone15promax256g,306
苹果iphone15promax512g,127
苹果iphone15pro512g,24
苹果iphone15promax（专区专享）iphone15promax（专区专享）/5g全网通/512g,18
apple苹果15promax【首月1元】512gb,94
apple苹果15promax【首月1元】256gb,67
apple95新iphone14国行正品灵活租满一个月可随时归还128gb,1
三星（samsung）三星galaxyzfold6ai智能影像超轻薄折叠大屏商务手机12gb+512gb,5
apple苹果15pro【首月1元】256gb,15
apple苹果15pro【首月1元】512gb,24
小米（mi）小米14ultra徕卡光学summilux镜头双向卫星通信澎湃os5g手机12+256gb,1
"appleappleappleiphone14港澳台,256g",1
苹果iphone15pro（专区专享）iphone15pro（专区专享）/5g全网通/512g,1
appleappleiphone15pro256g,20
appleappleiphone15128g,4
小米小米红米k70pro24g+1t,1
appleiphone15promax原色钛金属256g,954
oppooppofindx7ultra松影墨韵16+512g,8
appleiphone15promax白色钛金属256g,1449
appleiphone15蓝色128g,109
红米redmik70晴雪16+512g,8
小米小米civi4pro春野绿12+256g,1
appleiphone15promax黑色钛金属256g,1546
appleiphone15promax蓝色钛金属512g,132
华硕华硕天选5proi9-14900hx/16g/1t/rtx4060/16英寸魔幻青,70
appleairpodspro2代搭配magsafe充电盒(usb-c)白色,364
apple苹果15promax【首月1元】1tb,4
荣耀（honor）荣耀magicv3折叠屏手机第三代青海湖电池16gb+1tb,1
apple苹果15【首月1元】256gb,4
apple苹果15pro【首月1元】128gb,6
apple苹果15【首月1元】128gb,5
华硕华硕天选5pror9-7940hx/16g/1t/rtx4070/16英寸魔幻青,20
小米xiaomi14岩石青12+256g,26
华为华为pura70pro极速发货雪域白12+512g,184
vivovivox100s专属版12+256g深空灰,5
华为华为watch4pro火星钛钛金属表带,24
华为华为watch4幻月黑46mm,27
三星三星galaxys24ultra钛黑12+512g,7
appleiphone15pro原色钛金属256g,90
appleiphone15promax黑色钛金属512g,370
联想联想拯救者y9000p2024i9-14900hx/32g/1t/rtx4070/16英寸/ai元启碳晶灰,47
华为华为pura70pro极速发货羽砂黑12+1t,29
华为华为matex5幻影紫12+512g,56
一加一加ace3星辰黑5g全网通12+256g,6
appleapplewatchultra2均码蓝色海洋表带钛金属表壳49mm蜂窝+gps版,35
appleiphone15promax原色钛金属512g,344
三星三星galaxys24ultra钛灰12+512g,12
vivovivoiqooneo9spro+格斗黑12+512g,3
三星三星galaxys24ultra钛黑12+256g,43
荣耀荣耀x50gt银翼战神5g全网通12+256g,9
appleiphone15pro蓝色钛金属128g,50
华为华为mate60pro雅丹黑标准版12+512g,148
努比亚（nubia）红魔9spro暗夜骑士12+256g,10
appleipadair2024款13英寸星光色wifi版128g,3
联想联想拯救者r9000p2024r9-7945hx/16g/1t/rtx4060/16英寸冰魄白,22
appleipadair2024款11英寸wifi版256g深空灰,30
华为华为pura70pro极速发货12+512g罗兰紫,88
华为华为mate60pro雅川青标准版12+512g,93
小米xiaomi1416+512g白色,29
appleiphone15promax白色钛金属512g,473
一加一加ace3v幻紫银12+256g,2
applemacbookair2024款m3/8+10核/16g+512g13.6英寸午夜色,4
华为华为畅享70256g翡冷翠,4
华硕华硕天选5proi9-14900hx/16g/1t/rtx4070/16英寸魔幻青,29
联想联想拯救者y9000p2024i9-14900hx/32g/1t/rtx4060/16英寸/ai元启碳晶灰,60
appleipadpro2024款11英寸标准玻璃wifi版256g银色,38
红米红米k70至尊版晴雪白16+512g,26
联想联想拯救者y9000p2024碳晶灰i9-14900hx/32g/1t/rtx4060/16英寸,69
appleipadair2024款11英寸wifi版128g深空灰,24
华为华为pura70pro极速发货雪域白12+1t,21
华为华为matepadpro11英寸20228gb+256gbwifi版晶钻白,2
努比亚（nubia）红魔9pro暗夜骑士5g全网通12+256g,6
红米红米k70至尊版晴雪白12+256g,69
appleiphone15黑色512g,8
小米xiaomi14pro16+512g白色,61
华硕华硕天选4r7-7435h/16g/512gssd/rtx40506g独显/144hz/100%srgb/日蚀灰,28
appleairpods3白色标配,37
红米redmik70pro晴雪12+256g,8
华为华为pura70pro极速发货羽砂黑12+512g,260
红米redmik70e影青12+256g,5
vivovivopad3pro寒星灰12gb+256gb,12
华为华为nova12活力版曜金黑256g,17
华为华为pura70pro极速发货12+1t罗兰紫,11
vivovivoiqooneo9spro+buff蓝12+256g,5
小米xiaomi1416+512g黑色,41
华硕华硕灵耀142024夜空蓝ultra7155h/32g/1tb/锐炫/14英寸,3
华硕华硕天选5pro日蚀灰i7-13650hx/16g/512g/rtx4050/16英寸,10
华为华为畅享70曜金黑256g,4
appleipad2021款wifi版64g10.2英寸银色,4
小米小米pad6spro12.48gb+256gb云峰蓝,7
华为华为mate60pro雅丹黑标准版12+256g,125
华为华为mate60pro白沙银标准版12+256g,70
华为华为nova12活力版12号色512g,7
appleiphone15pro原色钛金属128g,145
appleapplewatchultra2均码钛金属表壳49mm白色海洋表带蜂窝+gps版,38
vivovivos19pro剑影灰12+512g,5
appleiphone15plus256g黑色,22
华为华为matex5羽砂白12+512g,35
一加一加平板pro卡其绿16gb+512gb,8
华硕华硕天选air2024ai9hx370/32g/1t/rtx4060/14英寸月光银,5
华为华为matex516gb+512gb典藏版羽砂白,20
appleipadair2024款11英寸wifi版128g蓝色,20
一加一加ace3pro绿野素青12+256g,9
联想联想拯救者y7000p2024i7-14700hx/16g/1t/rtx4060/16英寸月蚀灰,35
appleiphone15pro白色钛金属256g,86
红米红米turbo3青刃12+256g,2
联想联想拯救者y7000p2024i7-14650hx/16g/1t/rtx4050/16英寸月蚀灰,42
小米xiaomi14pro12+256g白色,21
荣耀荣耀x50全新典雅黑标准版8gb+128gb,11
appleipad2022款10.9英寸wifi版64g蓝色,8
appleiphone15pro白色钛金属512g,19
联想（lenovo）联想小新pad2024款6gb+128gb烟霞紫11英寸,4
appleiphone15plus蓝色128g,17
荣耀荣耀200pro绒黑色16+512g,6
小米小米mixflip凤羽纤维12+256g,9
华为华为freebudspro3冰霜银,19
vivovivox100spro辰夜黑专属版16+512g,12
appleapplewatchseries?9星光色运动型表带s/m铝金属表壳41mmgps版,17
oppoopporeno12pro16+512g香槟金,6
appleiphone15promax1t原色钛金属,15
雷神(thunderobot)雷神911mt2023天行者猎影灰i7-13620h/16g/512g/rtx4060/15.6英寸,5
华为华为mate60pro专属版雅丹黑12+256g,33
小米xiaomi1412+256g白色,56
appleiphone15粉色128g,74
vivovivox100s钛色16+1t专属版,17
努比亚（nubia）红魔9spro+暗夜骑士16+512g,56
华硕华硕无畏pro152024r7-8845h/16g/1t/集显/15.6英寸银色,6
oppooppofindx7海阔天空16+512g,6
vivovivox100s专属版16+512g深空灰,14
联想联想拯救者y9000p2024碳晶灰i9-14900hx/16g/1t/rtx4060/16英寸,97
appleiphone15pro原色钛金属512g,15
联想联想拯救者y9000p?2023i9-13900hx/16g/1t/rtx4060/16英寸钛晶灰,32
华为华为mate60pro白沙银标准版12+512g,59
appleapplewatchultra2大号靛蓝色高山回环式表带钛金属表壳49mm蜂窝+gps版,4
华硕华硕天选4i7-13620h/16g/512gssd/rtx40506g独显/144hz/100%srgb/日蚀灰,11
联想联想拯救者y9000x2024i9-14900hx/32g/1t/rtx4070/16英寸冰魄白,2
华为华为watchultimate驰骋山地黑色丁腈橡胶表带,9
appleapplewatchse2023款午夜色运动型表带s/mgps+蜂窝网络铝金属表壳44mm,3
小米小米13旷野绿标准版12+256g,3
appleipadair2024款11英寸星光色wifi版256g,8
联想联想拯救者r9000p2024r9-7945hx/16g/1t/rtx4060/16英寸碳晶灰,20
appleiphone15promax蓝色钛金属256g,410
vivovivox100s青云专属版12+256g,5
联想thinkbook162023r7-7730u/16g/1t/集显/16英寸银灰色,2
华为华为pura70公开零售版羽砂黑12+512g,20
appleiphone15256g蓝色,60
华硕华硕rog枪神8i9-14900hx/16g/1t/rtx4060/16英寸/240hz黑色,2
荣耀荣耀200pro天海青12+256g,3
华为华为mate60pro+砚黑16+512g,14
小米xiaomi14pro12+256g黑色,40
vivovivoiqoo12pro16+1t赛道版,4
appleiphone14标准版(iphone14)星光色256g,5
appleiphone15pro黑色钛金属256g,46
华为华为matebookd16se2024i5-13420h/16gb/512gb/16英寸皓月银,28
华为华为watch4pro木星棕真皮表带,38
appleiphone15pro1t黑色钛金属,2
红米红米k70至尊版冰璃蓝12+256g,28
联想联想拯救者y7000p（二手）i7-13700h/16g/1t/rtx4060/16英寸钛晶灰,2
小米xiaomi1412+256g黑色,82
华为华为pura70pro+公开零售版魅影黑16+512g,12
荣耀荣耀x50全新标准版8gb+128gb燃橙色,9
华为华为pura70公开零售版樱玫红12+512g,5
applemacbookair2024款m3/8+10核/16g+512g15.3英寸银色,6
一加一加ace3pro绿野素青24+1t,7
appleipadpro2024款11英寸标准玻璃深空黑wifi版256g,52
vivovivopad3pro薄霞紫12gb+256gb,8
一加一加平板pro12gb+256gb深空灰,8
applemacbookpro2022款m2/8+10核/8g+256g/13英寸深空灰,6
联想（lenovo）联想拯救者r70002023款r7-7840h/16g/512g/rtx4060/15.6英寸钛晶灰,4
appleiphone15黑色128g,170
appleiphone15pro白色钛金属128g,127
appleipadpro2024款13英寸标准玻璃深空黑wifi版512g,15
appleiphone15promax1t黑色钛金属,25
vivovivox100s钛色专属版16+256g,25
appleipadair2024款13英寸wifi版128g深空灰,6
一加一加ace3pro钛空镜银16+512g,23
三星三星galaxys24ultra钛灰12+256g,22
appleappleiphone15256g,5
appleappleappleairpodspro,2
小米小米小米14pro16g+1t,1
applemacbookair2024款m3/8+10核/8g+512g13.6英寸深空灰色,5
appleapplewatchseries?9星光色运动型表带m/l铝金属表壳45mm蜂窝+gps版,3
华为huaweimatebook142024款ultra5/32gb/1tb深空灰,10
华硕华硕天选4r7-7435h/16g/512gssd/rtx40608g独显/144hz/100%srgb/日蚀灰,17
华硕华硕天选4r7-7735h/16g/512gssd/rtx40506g独显/144hz/100%srgb/日蚀灰,13
华为华为mate60mate60雅丹黑标准版12+256g,21
华为华为watch4pro太空探索深灰色钛金属表带,23
vivovivox100ultra专属版16+512g深空灰,5
applemacbookpro2023款m3/8+10核/8g+1tb/14英寸深空灰,4
联想（lenovo）联想小新padpro2025舒视版大象灰8gb+128gb,2
appleapplewatchse2023款星光色运动型表带gpsm/l铝金属表壳44mm,3
vivovivox100s钛色专属版16+512g,27
vivovivopad3pro寒星灰16gb+512gb,11
华硕华硕天选5pro日蚀灰i9-14900hx/16g/1t/rtx4060/16英寸,63
小米xiaomi1416+1t黑色,14
华为华为pura70公开零售版羽砂黑12+256g,5
小米小米mixflip12+512g白色,6
华硕华硕天选4r7-7735/16g/512gssd/rtx40608g独显/144hz/100%srgb/魔幻青,22
appleiphone15promax1t白色钛金属,20
华硕华硕天选4i9-13900h/16g/1tbssd/rtx40608g独显/165hz/2.5k/100%dci-p3/魔幻青,25
华为华为mate60pro专属版雅丹黑12+512g,22
华为华为pura70公开零售版冰晶蓝12+512g,19
努比亚（nubia）红魔9pro氘锋透明暗夜5g全网通12+512g,4
realmerealmegt6光年白16+512g,11
vivovivoiqoo12pro16+512g传奇版,6
appleipad2021款wifi版64g深空灰色10.2英寸,5
appleipadpro2024款13英寸标准玻璃wifi版256g银色,28
华硕华硕天选5proi7-13650hx/16g/1t/rtx4060/16英寸魔幻青,28
appleapplewatchseries?9午夜色运动型表带m/l铝金属表壳45mm蜂窝+gps版,3
appleipadair2024款13英寸星光色wifi版256g,2
小米xiaomi1416+1t白色,6
appleipadpro2024款13英寸标准玻璃深空黑wifi版256g,32
vivovivoiqooz9turbo星芒白16+256g,14
红米红米k70至尊版墨羽黑16+512g,25
荣耀荣耀magic6pro绒黑色5g全网通12+256g,5
华硕华硕天选5pro日蚀灰i9-13980hx/16g/1t/rtx4070/16英寸,12
appleiphone15pro蓝色钛金属512g,10
applemacbookpro2022款m2/8+10核/8g+256g/13英寸银色,4
华为huaweiwatchbuds卡其色真皮表带,3
appleapplewatchultra2m/l蓝配黑色野径回环式表带钛金属表壳49mm蜂窝+gps版,3
联想联想小新pro142024鸽子灰ultra5125h/32g/1t/锐炫/14英寸,3
机械革命（mechrevo）机械革命蛟龙16pror7-7745hx/16g/1tb/rtx4060/16英寸/qhd100色域/240hz烟灰色,14
appleiphone15pro蓝色钛金属256g,29
华为华为watchultimate纵横海洋钛金属表带,17
applemacbookair2024款m3/8+10核/16g+512g13.6英寸银色,7
联想联想小新162023锐龙版r5-7530u/16g/512g/集显/16英寸卷云灰,4
华为华为matebookd162024i5-13420h/16g/1t/集显/16英寸深空灰,19
联想联想小新162024r7-8845h/16g/512g/集显/16英寸霜雪银,2
appleiphone15pro黑色钛金属128g,56
华为华为matebookd142024i5-13420h/16g/512g/集显/14英寸深空灰,15
华硕华硕天选5pro日蚀灰r9-7940hx/16g/1t/rtx4060/16英寸,12
荣耀荣耀x50全新典雅黑标准版8gb+256gb,5
三星三星galaxys24ultra钛暮紫12+256g,14
oppooppoa3pro远山蓝12+256g,7
华为华为watchgt4凝霜白真皮表带gt4（41mm）,12
appleiphone14标准版(iphone14)午夜色256g,4
华硕（asus）华硕天选5r9-8945h/16g/1t/rtx4070/15.6英寸魔幻青,2
联想联想拯救者y7000p2024i7-14650hx/16g/1t/rtx4060/16英寸月蚀灰,31
appleipadair2024款11英寸wifi版256g蓝色,7
appleipadair2024款13英寸wifi版128g蓝色,2
appleipadair2024款11英寸wifi版128g紫色,34
联想联想拯救者y9000p2024冰魄白i9-14900hx/32g/1t/rtx4060/16英寸,26
努比亚（nubia）红魔9spro+氘锋透明暗夜16+512g,8
vivovivos19烟雨青8+256g,4
惠普（hp）惠普星bookpro142024月光银ultra5125h/16g/1t/锐炫/14英寸,2
appleapplewatchse2023款星光色运动型表带gpss/m铝金属表壳40mm,2
荣耀荣耀magicv3祁连雪16+512g,5
荣耀荣耀x50全新雨后初晴标准版8gb+128gb,11
vivovivos19桃花扇16+512g,4
oppoopporeno12千禧银16+512g,11
vivovivoiqooz9turbo曜夜黑16+512g,8
appleapplewatchseries?9午夜色运动型表带s/m铝金属表壳45mmgps版,5
oppoopporeno12pro乌木黑16+256g,19
appleapplewatchseries?9亮粉色运动型表带s/m铝金属表壳41mmgps版,2
荣耀荣耀200pro天海青16+512g,8
华为华为matex516gb+1tb典藏版羽砂黑,14
appleipad2022款wifi版256g标准版（ipad2022）10.9英寸粉色,14
华硕华硕天选4i9-13900h/16g/1tbssd/rtx40608g独显/165hz/2.5k/100%dci-p3/日蚀灰,14
vivovivox100s白月光专属版16+512g,20
appleapplewatchseries?9星光色运动型表带m/l铝金属表壳45mmgps版,4
华为华为pura70公开零售版雪域白12+512g,17
联想thinkbook152023r5-7530u/16g/512g/集显/15.6英寸银灰色,3
appleapplewatchse2023款风暴蓝色运动型表带m/lgps+蜂窝网络铝金属表壳44mm,2
荣耀荣耀magicv3绒黑色16+1t,5
华为华为watchgt4云杉绿复合编织表带gt4（46mm）,12
红米redmik70晴雪12+256g,12
appleipadair2024款11英寸wifi版256g紫色,19
华为华为pura70ultra公开零售版香颂绿16+512g,6
雷神(thunderobot)雷神猎刃152024i7-13650hx/16g/512g/rtx4060/15.6英寸灰色,25
华为华为freebudslipstick2魅影黑,2
联想联想小新pro162024鸽子灰r7-8845h/16g/1t/集显/16英寸,4
华为huaweiwatchbuds黑色真皮表带,8
华为华为matex516gb+512gb典藏版青山黛,14
华为华为matebooke2023i7-1260u/16g/512g/锐炬xe/12.6英寸雪域白,2
appleiphone15粉色256g,30
联想联想拯救者r7000（二手）幻影黑r7-5800h/16g/512g/rtx3050/15.6英寸,2
华为华为pura70ultra公开零售版摩卡棕16+1t,2
小米小米mixfold4龙鳞纤维版12+256g,4
oppooppoa3pro天青8+256g,10
小米小米mixflip12+256g黑色,8
applemacbookair2024款m3/8+8核/8g+256g13.6英寸星光色,3
联想thinkbook16+2024uitra5125h/32g/1t/锐炫/16英寸月神灰,2
vivovivox100ultra钛色专属版16+512g,20
appleiphone14标准版(iphone14)256g紫色,2
applemacbookair2022款m2/8+8核/8g+256g13.6英寸星光色,3
vivovivoiqoo12pro16+1t传奇版,2
appleiphone13标准版（iphone13）午夜色全网通-国行版128g,2
三星三星galaxys24水墨黑8+256g,2
华硕华硕天选4i7-13700h/16g/512ssd/rtx40608g独显/165hz/100%dci-p3/魔幻青,13
联想联想拯救者y9000p2024冰魄白i9-14900hx/32g/1t/rtx4070/16英寸,6
华为华为matebookd162024i5-13420h/16g/1t/集显/16英寸皓月银,15
机械革命（mechrevo）机械革命耀世15pro2024i7-14650hx/32g/1t/rtx4060/15.3英寸云涧白,3
applemacbookair2024款m3/8+10核/8g+512g15.3英寸午夜色,2
雷神(thunderobot)雷神猎刃152024i9-14900hx/16g/1t/rtx4060/15.6英寸灰色,8
华为华为freebudspro3星河蓝,6
机械革命（mechrevo）机械革命旷世g16pro2024i7-13650hx/16g/1t/rtx4060/16英寸灰色,6
applemacbookair2024款m3/8+10核/8g+512g15.3英寸银色,3
华为华为matepadpro2023款12gb+256gbwifi版13.2英寸晶钻白,4
appleapplewatchse2023款星光色运动型表带s/mgps+蜂窝网络铝金属表壳44mm,5
华为华为pura70pro+公开零售版光织银16+512g,10
红米redmik70竹月蓝16+512g,2
华硕华硕无畏pro152024ultra9185h/16g/1t/rtx4060/15.6英寸银色,6
红米红米k70至尊版墨羽黑12+256g,41
oppooppoa312+256g极光紫,3
华为华为matex5青山黛12+512g,26
vivovivox100s钛色专属版12+256g,5
vivovivoiqooneo9spro+格斗黑16+512g,5
realmerealmegt6光年白16+1t,8
oppooppopadair28gb+128gb流光银,3
联想（lenovo）联想拯救者y7002023款钛晶灰16gb+512gb,8
appleapplewatchse2023款午夜色运动型表带gpsm/l铝金属表壳40mm,2
魅族魅族21note魅族白16+512g,9
appleiphone15绿色128g,27
一加一加ace3pro超跑瓷典藏版24+1t,18
vivovivox100spro白月光专属版12+256g,4
apple全新apple苹果ipadpro2024款m4芯片新款平板电脑11英寸512gb无线局域网机型,1
apple全新iphone15promax新品首发5g全网通钛合金金属边框1tb,2
appleapplewatchseries?9风暴蓝色运动型表带m/l铝金属表壳45mmgps版,3
三星（samsung）三星galaxys24+新品上新ai智享生活办公2k全视屏12+512gb,1
appleapplewatchseries?9星光色运动型表带s/m铝金属表壳45mmgps版,9
小米小米14ultra龙晶蓝16+512g,8
小米小米14ultra12+256g白色,8
联想联想拯救者r70002024r7-8745h/16g/512g/rtx4050/15.6英寸钛晶灰,4
appleipadpro2024款13英寸标准玻璃wifi版512g银色,9
华为华为pura70公开加锁版羽砂黑12+1t,2
华为华为pura70公开加锁版羽砂黑12+512g,8
appleapplewatchseries?9午夜色运动型表带m/l铝金属表壳45mmgps版,6
小米小米pad6spro12.412gb+256gb云峰蓝,2
机械革命（mechrevo）机械革命蛟龙16pror7-7745hx/32g/1tb/rtx4060/16英寸/qhd100色域240hz烟灰色,5
荣耀荣耀magicv3绒黑色16+512g,17
小米小米mixflip12+256g白色,13
applemacbookair2024款m3/8+8核/8g+256g13.6英寸银色,11
appleairpods3配闪电充电盒白色,9
华为华为freeclip耳夹耳机暖星云,1
华硕华硕天选5pror9-7940hx/16g/1t/rtx4060/16英寸魔幻青,12
华为华为pura70ultra公开加锁版星芒白16+1t,3
华硕华硕天选4i7-13700h/16g/512ssd/rtx40608g独显/144hz/100%dci-p3/日蚀灰,15
vivovivos19pro千山翠12+512g,4
华硕华硕天选5pro日蚀灰i7-13650hx/16g/1t/rtx4060/16英寸,16
vivovivoiqooneo9spro+星曜白16+512g,5
appleapplewatchultra2中号蓝色高山回环式表带钛金属表壳49mm蜂窝+gps版,3
荣耀荣耀平板magicpad2天海青16gb+512gb,3
雷神(thunderobot)雷神猎刃152024i7-13650hx/16g/512g/rtx4050/15.6英寸灰色,16
机械革命（mechrevo）机械革命旷世16super2024银黑色i9-14900hx/32g/1t/rtx4080/16英寸,5
一加一加平板pro卡其绿8gb+256gb,2
小米xiaomi14pro岩石青16+1t,2
华为matepadpro2024款13.2英寸12gb+512gbwifi版曜金黑,7
