pro_title,pro_brand,pro_model,pro_color,数量
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 45mm GPS,午夜色 运动型表带M/L,1
HUAWEI WATCH GT 4,智能手表,HUAWEI WATCH GT 4/GT 4/46mm 云杉绿 复合编织表带,云杉绿 复合编织表带,1
OPPO Watch 4 Pro,智能手表,OPPO Watch 4 Pro/OPPO Watch 4 Pro/极夜黑 氟橡胶表带款,极夜黑,2
vivo X Fold3 Pro,vivo,vivo X Fold3 Pro/5G全网通/16G+512G,薄翼黑,1
Redmi K70,小米,Redmi K70/5G全网通/16G+512G,晴雪,1
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,蓝色海洋表带,1
OPPO K12,OPPO,OPPO K12/5G全网通/12G+256G,青云,1
iPhone 15,苹果,iPhone 15/5G全网通/256G,黑色,5
【95新】华为 Mate 40E,华为,【95新】华为 Mate 40E/5G全网通/8G+128G,釉白色,1
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/256G,粉色,4
iPhone 15 Pro Max,Apple,256G,蓝色钛金属,8
iPhone 15 Pro Max,Apple,256G,白色钛金属,51
iPhone 15 Pro Max,Apple,512G,白色钛金属,69
iPhone 15 Pro Max,Apple,256G,黑色钛金属,23
iPhone 15 Pro Max,Apple,256G,原色钛金属,26
iPhone 15 Pro,Apple,512G,原色钛金属,4
iPhone 15 Plus,Apple,256G,黑色,1
iPhone 15 Pro,Apple,512G,白色钛金属,14
iPhone 15 Pro,Apple,512G,黑色钛金属,4
iPhone 15 Pro Max,Apple,512G,原色钛金属,17
iPhone 15 Pro Max,Apple,512G,黑色钛金属,11
iPhone 15,Apple,256G,蓝色,1
iPhone 15 Pro,Apple,128G,原色钛金属,1
iPhone 15 Pro Max,Apple,512G,蓝色钛金属,5
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,黑色钛金属,114
iPhone 15,苹果,iPhone 15/5G全网通/256G,蓝色,7
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,橙色海洋表带,1
iPhone 15,苹果,iPhone 15/5G全网通/128G,黑色,5
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,黑色钛金属,7
iPad Pro 2024款,平板,iPad Pro 2024款/WiFi/蜂窝/256G/WiFi/11英寸,深空黑色,1
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/512G,蓝色钛金属,18
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,蓝色钛金属,2
iPad 2022款,平板,iPad 2022款/WiFi/蜂窝版/64G/WiFi/10.9寸,粉色,1
【99新】iPhone 14,苹果,【99新】iPhone 14/5G全网通/128G,午夜色,1
华为 Mate 60 Pro+,华为,华为 Mate 60 Pro+/5G全网通/16G+1T,砚黑,1
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/512G,蓝色,1
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/128G,原色钛金属,11
OPPO Find X7,OPPO,OPPO Find X7/5G全网通/16G+512G,海阔天空,1
iPad mini 6 2021款,平板,iPad mini 6 2021款/WiFi版/蜂窝版/64G/WiFi/8.3寸,深空灰色,1
华为 Mate 60 Pro,华为,华为 Mate 60 Pro/5G全网通/12G+512G,白沙银,2
HUAWEI WATCH GT 3 Pro,智能手表,HUAWEI WATCH GT 3 Pro/GT 3 Pro/典藏版（43mm）黑色陶瓷,黑色陶瓷,1
华为 Pura 70 Ultra,华为,华为 Pura 70 Ultra/5G全网通/16G+512G,星芒白,1
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,午夜色 运动型表带S/M,1
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,原色钛金属,38
小米14,小米,小米14/5G全网通/12G+256G,黑色,1
三星 Galaxy S24 Ultra,三星,三星 Galaxy S24 Ultra/5G全网通/12G+256G,钛灰,1
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,星光色 运动型表带M/L,2
华为 Pura 70 Ultra,华为,华为 Pura 70 Ultra/5G全网通/16G+1T,星芒白,1
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/1T,白色钛金属,1
OPPO K12,OPPO,OPPO K12/5G全网通/12G+256G,星夜,2
小米14 Ultra,小米,小米14 Ultra/5G全网通/12G+256G,白色,1
iPhone 15,苹果,iPhone 15/5G全网通/256G,粉色,3
iPhone 15,苹果,iPhone 15/5G全网通/128G,蓝色,19
Redmi K70 Pro,小米,Redmi K70 Pro/5G全网通/12G+256G,晴雪,1
【99新】iPhone 15 Pro Max,苹果,【99新】iPhone 15 Pro Max/5G全网通/256G,原色钛金属,1
HUAWEI WATCH GT 4,智能手表,HUAWEI WATCH GT 4/GT 4/46mm 曜石黑 氟橡胶表带,曜石黑 氟橡胶表带,1
vivo X100,vivo,vivo X100/5G全网通/12G+256G,辰夜黑,1
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/256G,蓝色钛金属,22
【99新】OPPO Find X6,OPPO,【99新】OPPO Find X6/5G全网通/16G+512G,雪山金,1
【95新】三星 Galaxy Z Fold4,三星,【95新】三星 Galaxy Z Fold4/5G全网通/12G+256G,铂萃黑,1
【95新】iPhone 15,苹果,【95新】iPhone 15/5G全网通/128G,蓝色,1
vivo X100 Pro,vivo,vivo X100 Pro/5G全网通/16G+512G,白月光,1
Redmi K70,小米,Redmi K70/5G全网通/16G+256G,墨羽,1
vivo S18e,vivo,vivo S18e/5G全网通/12G+512G,星夜黑,1
Redmi K70 Pro,小米,Redmi K70 Pro/5G全网通/16G+512G,墨羽,1
【99新】vivo iQOO 11 Pro,vivo,【99新】vivo iQOO 11 Pro/5G全网通/16G+512G,传奇版,1
荣耀90 Pro,荣耀,荣耀90 Pro/5G全网通/16G+512G,墨玉青,1
【99新】三星 Galaxy Z Flip4,三星,【99新】三星 Galaxy Z Flip4/5G全网通/8G+256G,繁樱花园,1
vivo X100,vivo,vivo X100/5G全网通/16G+512G,白月光,1
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,黑色钛金属,7
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,原色钛金属,44
三星Galaxy S24 Ultra新品上新 AI智享生活办公 四长焦系统SPen 5G,三星（SAMSUNG）,12+256GB,钛灰,2
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,原色钛金属,44
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,原色钛金属,24
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,白色钛金属,25
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,黑色钛金属,17
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,蓝色钛金属,6
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,白色钛金属,15
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,256GB,黑色钛金属,9
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,白色钛金属,75
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,白色钛金属,6
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,黑色钛金属,54
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,512GB,原色钛金属,5
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,蓝色钛金属,1
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,256G,原色钛金属,9
全新国行 Apple iPhone 15 Pro,Apple,512G,黑色钛金属,1
全新国行 Apple iPhone 15 Pro,Apple,512G,原色钛金属,4
全新国行 Apple iPhone 15 Pro Max,Apple,256G,蓝色钛金属,3
全新国行 2024款 iPad Pro M4芯片,Apple,"11英寸,无线局域网512G",深空黑,1
全新 华硕天选5 Pro 16寸 i7/i9  2.5K 165Hz 高性能笔记本电脑,华硕笔记本,i7-13650HX 16G 1TB   4060 魔幻青,,1
vivo iQOO Neo9,vivo,vivo iQOO Neo9/5G全网通/16G+256G,格斗黑,1
iPhone 15,苹果,iPhone 15/5G全网通/512G,粉色,1
【95新】vivo iQOO 11,vivo,【95新】vivo iQOO 11/5G全网通/16G+512G,曼岛特别版,1
iPhone 15,苹果,iPhone 15/5G全网通/256G,绿色,1
三星Galaxy Z Flip6 新款 折叠屏手机,三星,三星Galaxy Z Flip6 新款 折叠屏手机/5G全网通/12G+256G,星夜银色,1
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 41mm GPS,午夜色 运动型表带M/L,1
【99新】iPhone 15 Pro,苹果,【99新】iPhone 15 Pro/5G全网通/512G,白色钛金属,1
iPhone 15 Pro Max,苹果,iPhone 15 Pro Max/5G全网通/1T,黑色钛金属,4
【99新】iPhone 14 Pro Max,苹果,【99新】iPhone 14 Pro Max/5G全网通/256G,银色,1
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,白色钛金属,13
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,黑色钛金属,5
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,原色钛金属,4
iPhone 15 Pro,Apple,128G,黑色钛金属,2
iPhone 15,Apple,iPhone 15,粉色,1
iPhone 15 Pro,Apple,iPhone 15 Pro,黑色钛金属,1
iPhone 15 Pro Max,Apple,iPhone 15 Pro Max,蓝色钛金属,1
Apple Watch Series 9,智能手表,Apple Watch Series 9/S9/铝金属 45mm GPS,午夜色 运动型表带S/M,1
【95新】vivo X90,vivo,【95新】vivo X90/5G全网通/8G+256G,冰蓝,1
Apple Watch Ultra 2,智能手表,Apple Watch Ultra 2/Ultra 2/钛金属 49mm 蜂窝,白色海洋表带,1
OPPO Reno12,OPPO,OPPO Reno12/5G全网通/16GB+256GB,千禧银,1
vivo X100,vivo,vivo X100/5G全网通/16G+256G,白月光,1
小米Civi 4 Pro,小米,小米Civi 4 Pro/5G全网通/12G+256G,柔雾粉,1
vivo iQOO Neo9 Pro,vivo,vivo iQOO Neo9 Pro/5G全网通/12G+256G,格斗黑,1
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,蓝色海洋表带,2
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,原色钛金属,59
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,黑色钛金属,33
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,256GB,原色钛金属,3
iPhone 15 Pro Max 5G全网通 钛合金金属边框,Apple,512GB,蓝色钛金属,1
iPhone15 Pro  全新国行 5G全网通 非监管机 信用免押,Apple,256GB,白色钛金属,1
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸256GB 无线局域网机型,深空黑色,9
全新iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,原色钛金属,5
iPad Air 2024款 M2芯片 Apple/苹果 新款平板电脑,Apple,11英寸256GB 无线局域网机型,深空灰色,1
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,白色海洋表带,3
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸256GB 无线局域网机型,银色,2
iPhone15  全新国行 5G全网通 灵动岛上线 信用免押,Apple,128GB,黑色,2
iPad Air 2024款 M2芯片 Apple/苹果 新款平板电脑,Apple,11英寸512GB 无线局域网机型,深空灰色,1
iPad Pro 2022新款 全新正品 顺丰发货,Apple,11英寸256GB 无线局域网机型,银色,2
全新 Apple Watch Series 9  国行正品  顺丰发货 ,Apple,45毫米 GPS版 S/M,星光色铝金属表壳,1
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,11英寸512GB 无线局域网机型,银色,4
95新 iPhone13 国行正品 灵活租 满一个月可随时归还,Apple,128GB,随机,1
99新 iPhone 15 Pro 5G全网通 灵活租 满一个月可随时归还,Apple,256GB,随机,2
全新国行 Apple iPhone 15 Pro,Apple,128G,原色钛金属,1
全新国行 Apple iPhone 15 Pro,Apple,256G,黑色钛金属,1
全新国行 三星  Galaxy S24 Ultra,三星,12G+256G,钛黑,1
全新国行 Apple iPhone 15 Pro Max-租物高分专享[非监管机] [不上征信],Apple,512G,原色钛金属,4
全新国行 Apple iPhone 15,Apple,256G,黑色,1
融租-全新国行 iPhone 14-0601（不要动数据！！！）,Apple,"港澳台,256G",深空灰,2
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,13英寸512GB 无线局域网机型,银色,3
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,512GB,蓝色钛金属,14
全新 Apple Watch Series 9  国行正品  顺丰发货 ,Apple,41毫米 GPS版 S/M,星光色铝金属表壳,1
iPhone15 Plus  全新国行 5G全网通 灵动岛上线 信用免押,Apple,512GB,蓝色,1
融租-全新国行 iPhone 14-0601（不要动数据！！！）,Apple,"港澳台,512G",红色,1
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,白色钛金属,48
全新 iPhone 15 Pro 新品首发 5G全网通 钛合金金属边框,Apple,256GB,白色钛金属,1
全新 iPhone 15 Pro Max 新品首发 5G全网通 钛合金金属边框,Apple,256GB,蓝色钛金属,18
iPhone 15 Pro Max 5G全网通  钛合金金属边框,Apple,256GB,原色钛金属,1
全新 Apple Watch Series 9  国行正品  顺丰发货 ,Apple,41毫米 GPS+蜂窝网络版 S/M,星光色铝金属表壳,1
华硕笔记本 华硕天选5系列,华硕笔记本,i9-13980HX 16G 1TB  4060 魔幻青,,1
华硕笔记本 99新 华硕天选4系列,华硕笔记本,R9-7940H RTX4060 16G+512G 灰色,,1
Apple iPhone 15 Pro Max,Apple,512G,白色钛金属,439
华硕笔记本 华硕天选5系列,华硕笔记本,i9-14900 16G 1TB  4060 魔幻青,,1
Apple iPhone 15 Pro Max,Apple,256G,黑色钛金属,321
Apple iPhone 15 Pro Max,Apple,256G,原色钛金属,170
Apple iPhone 15 Pro Max,Apple,256G,白色钛金属,287
Apple iPhone 15 Pro Max,Apple,512G,原色钛金属,157
Apple iPhone 15 Pro Max,Apple,256G,蓝色钛金属,19
Apple iPhone 15 Pro Max,Apple,512G,蓝色钛金属,13
Apple iPhone 15 Pro Max,Apple,512G,黑色钛金属,274
Apple iPhone 15 Pro,Apple,512G,白色钛金属,18
Apple iPhone 15 Pro,Apple,128G,白色钛金属,4
Apple iPhone 15 Pro,Apple,512G,原色钛金属,14
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/128G,蓝色,3
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,黑色钛金属,13
iPhone 15 Pro Max,苹果,256G,黑色钛金属,61
iPhone 15 Pro Max,苹果,512G,白色钛金属,72
iPhone 15 Pro,苹果,512G,白色钛金属,9
iPhone 15 Pro Max,苹果,512G,黑色钛金属,32
iPhone 15 Pro Max,苹果,256G,原色钛金属,21
iPhone 15 Pro Max,苹果,256G,白色钛金属,110
iPhone 15 Pro Max,苹果,512G,原色钛金属,19
iPhone 15 Pro Max,苹果,512G,蓝色钛金属,3
iPhone 15 Pro,苹果,512G,黑色钛金属,9
iPhone 15 Pro,苹果,512G,原色钛金属,5
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/256G,原色钛金属,31
iPhone 15,苹果,iPhone 15/5G全网通/128G,粉色,3
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/512G,白色钛金属,6
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/512G,蓝色钛金属,5
iPhone 15 Pro,苹果,iPhone 15 Pro/5G全网通/256G,蓝色钛金属,1
苹果 15 ProMax【首月1元】  ,Apple,512GB,白色钛金属,35
苹果 15 ProMax【首月1元】  ,Apple,256GB,黑色钛金属,32
苹果 15 ProMax【首月1元】  ,Apple,256GB,原色钛金属,19
苹果 15 ProMax【首月1元】  ,Apple,512GB,黑色钛金属,35
95新 iPhone 14  国行正品 灵活租 满一个月可随时归还,Apple,128GB,随机,1
三星 Galaxy Z Fold6  AI智能影像 超轻薄折叠大屏商务手机,三星（SAMSUNG）,12GB+512GB,浅玫粉,1
苹果15 Pro【首月1元】,Apple,256GB,黑色钛金属,6
苹果15 Pro【首月1元】,Apple,512GB,白色钛金属,8
Apple Watch Ultra 2 年度爆款 全新正品 顺丰发货,Apple,49毫米 GPS+蜂窝网络,蓝色高山回环式表带,1
小米14 Ultra 徕卡光学 Summilux镜头 双向卫星通信 澎湃OS 5G手机,小米（MI）,12+256GB,白色,1
苹果 15 ProMax【首月1元】  ,Apple,256GB,白色钛金属,15
Apple Apple iPhone 14,Apple,"港澳台,256G",深空灰,1
iPhone 15 Pro Max（专区专享）,苹果,iPhone 15 Pro Max（专区专享）/5G全网通/512G,原色钛金属,11
iPhone 15 Plus,苹果,iPhone 15 Plus/5G全网通/256G,黑色,1
iPhone 15 Pro（专区专享）,苹果,iPhone 15 Pro（专区专享）/5G全网通/512G,原色钛金属,1
Apple iPhone 15 Pro,Apple,256G,白色钛金属,6
Apple iPhone 15,Apple,128G,蓝色,1
小米 红米 K70 Pro,小米,24G+1T,墨羽,1
iPhone 15 Pro Max,Apple,原色钛金属 256G,,219
OPPO Find X7 Ultra,oppo, 松影墨韵 16+512G,,3
iPhone 15 Pro Max,Apple,白色钛金属 256G,,482
iPhone 15,Apple,蓝色 128G,,42
Redmi K70,红米, 晴雪 16+512G,,5
小米 Civi4 Pro,小米,春野绿 12+256G,,1
iPhone 15 Pro Max,Apple,黑色钛金属 256G,,302
iPhone 15 Pro Max,Apple,蓝色钛金属 512G,,66
华硕 天选5 Pro,华硕,i9-14900HX/16G/1T/RTX4060/16英寸 魔幻青,,37
AirPods Pro 2代,Apple,搭配 MagSafe 充电盒 (USB-C) 白色,,192
苹果 15 ProMax【首月1元】  ,Apple,512GB,原色钛金属,21
苹果 15 ProMax【首月1元】  ,Apple,1TB,原色钛金属,4
苹果15 Pro【首月1元】,Apple,512GB,原色钛金属,9
全新  iPhone 15 Pro 新品首发 5G全网通 钛合金金属边框,Apple,256GB,蓝色钛金属,1
荣耀  Magic V3 折叠屏手机  第三代青海湖电池,荣耀（HONOR）,16GB+1TB,绒黑色,1
苹果 15 ProMax【首月1元】  ,Apple,256GB,蓝色钛金属,1
苹果15【首月1元】,Apple,256GB,黑色,3
苹果15 Pro【首月1元】,Apple,128GB,白色钛金属,1
苹果15【首月1元】,Apple,128GB,黑色,4
华硕 天选5 Pro,华硕,R9-7940HX/16G/1T/RTX4070/16英寸 魔幻青,,7
Xiaomi 14,小米,岩石青 12+256G,,11
华为 Pura 70 Pro,华为,极速发货 雪域白 12+512G,,80
vivo X100s,vivo,专属版 12+256G  深空灰,,3
华为WATCH 4 Pro,华为,火星钛 钛金属表带,,13
华为Watch4,华为,幻月黑 46mm,,18
三星 Galaxy S24 Ultra,三星, 钛黑 12+512G,,4
iPhone 15 Pro,Apple,原色钛金属 256G,,32
iPhone 15 Pro Max,Apple,黑色钛金属 512G,,129
联想 拯救者Y9000P 2024,联想,i9-14900HX/32G/1T/RTX4070/16英寸/AI元启 碳晶灰,,30
华为 Pura 70 Pro,华为,极速发货 羽砂黑 12+1T,,15
华为 Mate X5,华为, 幻影紫 12+512G,,14
一加 Ace 3,一加, 星辰黑 5G全网通 12+256G,,5
Apple Watch Ultra 2,Apple,均码 蓝色海洋表带 钛金属表壳 49MM 蜂窝+GPS版,,29
iPhone 15 Pro Max,Apple,原色钛金属 512G,,175
三星 Galaxy S24 Ultra,三星, 钛灰 12+512G,,7
vivo IQOO Neo9S Pro+,vivo,格斗黑 12+512G,,2
三星 Galaxy S24 Ultra,三星, 钛黑 12+256G,,16
荣耀X50 GT,荣耀, 银翼战神 5G全网通 12+256G,,4
iPhone 15 Pro,Apple,蓝色钛金属 128G,,17
华为 Mate 60 Pro,华为,雅丹黑 标准版 12+512G,,48
红魔9S Pro,努比亚（nubia）,暗夜骑士 12+256G,,6
iPad Air 2024款 13英寸,Apple,星光色 WiFi版 128G,,3
联想 拯救者R9000P 2024,联想,R9-7945HX/16G/1T/RTX4060/16英寸 冰魄白,,10
iPad Air 2024款 11英寸,Apple,WiFi版 256G 深空灰,,11
华为 Pura 70 Pro,华为,极速发货 12+512G 罗兰紫,,44
华为 Mate 60 Pro,华为,雅川青 标准版 12+512G,,34
Xiaomi 14,小米,16+512G 白色,,13
iPhone 15 Pro Max,Apple,白色钛金属 512G,,226
一加 Ace 3V,一加,幻紫银 12+256G,,2
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 13.6英寸 午夜色,,4
华为 畅享70,华为,256G 翡冷翠,,4
华硕 天选5 Pro,华硕,i9-14900HX/16G/1T/RTX4070/16英寸 魔幻青,,14
联想 拯救者Y9000P 2024,联想,i9-14900HX/32G/1T/RTX4060/16英寸/AI元启 碳晶灰,,31
iPad Pro 2024款 11英寸,Apple,标准玻璃 WiFi版 256G 银色,,19
红米K70至尊版,红米,晴雪白 16+512G,,7
联想 拯救者Y9000P 2024,联想,碳晶灰 i9-14900HX/32G/1T/RTX4060/16英寸,,35
iPad Air 2024款 11英寸,Apple,WiFi版 128G 深空灰,,11
华为 Pura 70 Pro,华为,极速发货 雪域白 12+1T,,9
华为 MatePad Pro 11英寸 2022,华为,8GB+256GB WIFI版 晶钻白,,2
红魔9Pro,努比亚（nubia）, 暗夜骑士 5G全网通  12+256G,,6
红米K70至尊版,红米,晴雪白 12+256G,,25
iPhone 15,Apple,黑色 512G,,3
Xiaomi 14 Pro,小米,16+512G 白色,,35
华硕 天选4,华硕,R7-7435H/16G/512GSSD/RTX4050 6G独显/144Hz/100% sRGB/日蚀灰,,15
AirPods 3,apple,白色 标配,,35
Redmi K70 Pro,红米, 晴雪 12+256G,,4
华为 Pura 70 Pro,华为,极速发货 羽砂黑 12+512G,,106
Redmi K70E,红米, 影青 12+256G,,2
vivo Pad3 Pro,vivo,寒星灰 12GB+256GB,,9
华为 nova 12 活力版,华为, 曜金黑 256G,,9
华为 Pura 70 Pro,华为,极速发货 12+1T 罗兰紫,,7
vivo IQOO Neo9S Pro+,vivo,Buff蓝 12+256G,,4
Xiaomi 14,小米,16+512G 黑色,,11
华硕 灵耀14 2024,华硕,夜空蓝 Ultra 7 155H/32G/1TB/锐炫/14英寸,,3
华硕 天选5 Pro,华硕,日蚀灰 i7-13650HX/16G/512G/RTX4050/16英寸,,3
华为 畅享70,华为,曜金黑 256G,,3
iPad 2021款,apple,WiFi版 64G 10.2英寸 银色,,3
小米 Pad 6S Pro 12.4,小米,8GB+256GB 云峰蓝,,5
华为 Mate 60 Pro,华为,雅丹黑 标准版 12+256G,,42
华为 Mate 60 Pro,华为,白沙银 标准版 12+256G,,20
华为 nova 12 活力版,华为, 12号色 512G,,4
iPhone 15 Pro,Apple,原色钛金属 128G,,39
